17999901706,2 Unit   Business Support,5.0,3|10371:3.0,10432:1.0,10431:1.0
17063401700,우리은행 부동산 플랫폼 구축 관련 인프라 도입(스크래핑솔루션),4.0,1|10175:4.0
16093105000,전자금융사업자 시스템 구축(자사솔루션),3.3,1|10413:3.3
16999901609,B2본부지원업무,3.0,1|10387:3.0
16072401600,전자무역서비스용 웹스크래핑 솔루션 도입,2.0,1|10358:2.0
17081101700,KAIA 연구비관리시스템 개발,2.0,1|10508:2.0
16032201600,2016년 사학연금 IFRS 유지보수 용역,2.0,1|10434:2.0
17046101700,광주은행 스마트뱅킹 리뉴얼 추가 유지보수 개발,1.5,2|10074:1.0,10291:0.5
16065101600,제주은행 통합CMS시스템 추가요건 사항 개발,1.0,1|10384:1.0
17026201700,2017년도 IBK 기업은행 정보시스템 운영,1.0,1|10477:1.0
17037201700,NH콕뱅크 운영 관리 업무 유지보수 계약,1.0,1|10456:1.0
17052201700,2017년 오케스트라 비상주 유지보수,1.0,1|10291:1.0
17017101800,베트남 올원 뱅크,0.4,1|10441:0.4
